competitor_name,metal,use_category,region,business_type,price_positioning,city,state,locality,website,instagram_handle,facebook_account,rating_avg,review_count,market_presence_label,snapshot_date
Akshaara Beautyhub,Multi-Metal,General,Pan-India,Showroom,unknown,Guntur,AndhraPradesh,Lalapet,,,,4.4,6,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Gurudatha Gold Marchent,Gold,General,Pan-India,Showroom,unknown,Guntur,AndhraPradesh,Sharaff Bazar Mangalagiri,,,,5,2,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Jayanthi Diamonds & Jewellers Pvt Ltd,Diamond,General,Pan-India,Showroom,unknown,Guntur,AndhraPradesh,"Narendra Centre Venkatarayapuram, Tanuku",,,,4.2,313,High,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Lakshmi Tirumala Jewellery,Multi-Metal,General,Pan-India,Showroom,unknown,Guntur,AndhraPradesh,Lalapet,,,,4.4,13,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
SRI LAKSHMI NARASIMHA GOLD WORKS,Gold,General,Pan-India,Showroom,unknown,Guntur,AndhraPradesh,Beside Sivalayam Temple Mangalagiri,,,,5,1,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Sree Sai Rajendra Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Guntur,AndhraPradesh,Main Road Brodipet,,,,4.4,63,Medium,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Sri Girija Shankar Selections,Multi-Metal,General,Pan-India,Showroom,unknown,Guntur,AndhraPradesh,Pattabhipuram Main Road Pattabipuram,,,,4.2,178,Medium,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Sri Varalaxmi Jewellery & Gold,Gold,General,Pan-India,Showroom,unknown,Guntur,AndhraPradesh,Revenu Ward Mangalagiri,,,,4.3,3,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Sri Venkateswara Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Guntur,AndhraPradesh,Mollavari Street Ponnur,,,,3.9,16,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
ARNIKA SILVER JEWELLERY,Silver,General,Pan-India,Showroom,unknown,Vijayawada,AndhraPradesh,Labbipet MG Road,,,,5,4,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Bombay Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Vijayawada,AndhraPradesh,Near Benz Circle Chandramoulipuram,,,,4.6,176,Medium,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Indriya,Multi-Metal,General,Pan-India,Showroom,unknown,Vijayawada,AndhraPradesh,Mg Road,,,,4.8,420,High,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Kiranmayi Jewellery Mart,Multi-Metal,General,Pan-India,Showroom,unknown,Vijayawada,AndhraPradesh,Sivalayam Street One Town,,,,3.9,20,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Mahendra Jewellery House,Multi-Metal,General,Pan-India,Showroom,unknown,Vijayawada,AndhraPradesh,Tikkle Road Mg,,,,4.6,32,Low,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Rajendra Jewellers Wholesale Gold Shoppe,Gold,General,Pan-India,Showroom,unknown,Vijayawada,AndhraPradesh,Jd Hospital Road Governerpet,,,,4.8,75,Medium,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Sri Sanghvi Jewellers INDIA Pvt Ltd,Multi-Metal,General,Pan-India,Showroom,unknown,Vijayawada,AndhraPradesh,Tikkle Road Mg,,,,4.2,51,Medium,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Sridevi Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Vijayawada,AndhraPradesh,Labbipet MG Road,,,,4.1,100,Medium,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Vega Jewellers,Multi-Metal,General,Pan-India,Showroom,unknown,Vijayawada,AndhraPradesh,Rajagopalachari Street Governerpet,,,,4.7,3541,High,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Vishal Silver,Silver,General,Pan-India,Showroom,unknown,Vijayawada,AndhraPradesh,Rajagopalachari Street Governerpet,,,,4.9,114,Medium,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
Kila Silver Jewellery,Silver,General,Pan-India,Showroom,unknown,Visakhapatnam,AndhraPradesh,Mvp Double Road Colony,,,,5,124,Medium,Mon Oct 27 2025 00:00:00 GMT+0530 (India Standard Time)
